EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 30-03-2018
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 FG   : daily Wind speed in 0.1 m/s
23-27 Q_FG : quality code for FG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station FRANCE, PLOUMANAC'H (STAID: 11245).
Blended and updated with sources: 175637 907117 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   FG, Q_FG
175637,19981224,   61,    0
175637,19981225,   92,    0
175637,19981226,   91,    0
175637,19981227,   59,    0
175637,19981228,   60,    0
175637,19981229,   58,    0
175637,19981230,   49,    0
175637,19981231,   46,    0
175637,19990101,   55,    0
175637,19990102,   96,    0
175637,19990103,   92,    0
175637,19990104,   95,    0
175637,19990105,   55,    0
175637,19990106,   75,    0
175637,19990107,   54,    0
175637,19990108,   85,    0
175637,19990109,   69,    0
175637,19990110,   64,    0
175637,19990111,   96,    0
175637,19990112,   68,    0
175637,19990113,   81,    0
175637,19990114,   78,    0
175637,19990115,   95,    0
175637,19990116,   69,    0
175637,19990117,   54,    0
175637,19990118,   72,    0
175637,19990119,   85,    0
175637,19990120,   66,    0
175637,19990121,   46,    0
175637,19990122,   51,    0
175637,19990123,   46,    0
175637,19990124,   51,    0
175637,19990125,   88,    0
175637,19990126,   76,    0
175637,19990127,   65,    0
175637,19990128,   82,    0
175637,19990129,   29,    0
175637,19990130,   19,    0
175637,19990131,   28,    0
175637,19990201,   40,    0
175637,19990202,   38,    0
175637,19990203,   46,    0
175637,19990204,   78,    0
175637,19990205,   84,    0
175637,19990206,   71,    0
175637,19990207,   81,    0
175637,19990208,   79,    0
175637,19990209,  105,    0
175637,19990210,   76,    0
175637,19990211,   38,    0
175637,19990212,   28,    0
175637,19990213,   28,    0
175637,19990214,   51,    0
175637,19990215,   42,    0
175637,19990216,   68,    0
175637,19990217,   80,    0
175637,19990218,   74,    0
175637,19990219,   99,    0
175637,19990220,   61,    0
175637,19990221,   98,    0
175637,19990222,  106,    0
175637,19990223,   51,    0
175637,19990224,   50,    0
175637,19990225,   34,    0
175637,19990226,   55,    0
175637,19990227,   56,    0
175637,19990228,   71,    0
175637,19990301,  101,    0
175637,19990302,   99,    0
175637,19990303,   95,    0
175637,19990304,   80,    0
175637,19990305,   79,    0
175637,19990306,   79,    0
175637,19990307,   49,    0
175637,19990308,   54,    0
175637,19990309,   55,    0
175637,19990310,   65,    0
175637,19990311,   34,    0
175637,19990312,   25,    0
175637,19990313,   28,    0
175637,19990314,   21,    0
175637,19990315,   30,    0
175637,19990316,   30,    0
175637,19990317,   21,    0
175637,19990318,   42,    0
175637,19990319,   55,    0
175637,19990320,   30,    0
175637,19990321,   88,    0
175637,19990322,   68,    0
175637,19990323,   52,    0
175637,19990324,   38,    0
175637,19990325,   48,    0
175637,19990326,   50,    0
175637,19990327,   48,    0
175637,19990328,   49,    0
175637,19990329,   55,    0
175637,19990330,   48,    0
175637,19990331,   44,    0
175637,19990401,   42,    0
175637,19990402,   42,    0
175637,19990403,   64,    0
175637,19990404,   39,    0
175637,19990405,   46,    0
175637,19990406,   72,    0
175637,19990407,   69,    0
175637,19990408,   28,    0
175637,19990409,   30,    0
175637,19990410,   66,    0
175637,19990411,   68,    0
175637,19990412,  119,    0
175637,19990413,   88,    0
175637,19990414,   75,    0
175637,19990415,   76,    0
175637,19990416,   36,    0
175637,19990417,   55,    0
175637,19990418,   58,    0
175637,19990419,   46,    0
175637,19990420,   70,    0
175637,19990421,   92,    0
175637,19990422,   68,    0
175637,19990423,   75,    0
175637,19990424,   48,    0
175637,19990425,   44,    0
175637,19990426,   46,    0
175637,19990427,  106,    0
175637,19990428,  131,    0
175637,19990429,  116,    0
175637,19990430,   31,    0
175637,19990501,   28,    0
175637,19990502,   26,    0
175637,19990503,   36,    0
175637,19990504,   45,    0
175637,19990505,   30,    0
175637,19990506,   42,    0
175637,19990507,   35,    0
175637,19990508,   66,    0
175637,19990509,   56,    0
175637,19990510,   69,    0
175637,19990511,   58,    0
175637,19990512,   56,    0
175637,19990513,   52,    0
175637,19990514,   56,    0
175637,19990515,   39,    0
