EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 26-03-2018
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 HU   : daily Humidity in 1 %
23-27 Q_HU : quality code for HU (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station FRANCE, BORDEAUX-MERIGNAC (STAID: 34).
Blended and updated with sources: 175646 907510 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   HU, Q_HU
175646,19221113,   80,    0
175646,19221114,   93,    0
175646,19221115,   69,    0
175646,19221116,   81,    0
175646,19221117,   85,    0
175646,19221118,   85,    0
175646,19221119,   81,    0
175646,19221120,   89,    0
175646,19221121,   87,    0
175646,19221122,   85,    0
175646,19221123,   94,    0
175646,19221124,   97,    0
175646,19221125,   70,    0
175646,19221126,   81,    0
175646,19221127,   79,    0
175646,19221128,   84,    0
175646,19221129,   84,    0
175646,19221130,   85,    0
175646,19221201,   91,    0
175646,19221202,   94,    0
175646,19221203,   88,    0
175646,19221204,   91,    0
175646,19221205,   80,    0
175646,19221206,   94,    0
175646,19221207,   90,    0
175646,19221208,   89,    0
175646,19221209,   83,    0
175646,19221210,   96,    0
175646,19221211,   96,    0
175646,19221212,  100,    0
175646,19221213,   89,    0
175646,19221214,   90,    0
175646,19221215,   90,    0
175646,19221216,   93,    0
175646,19221217,   90,    0
175646,19221218,   95,    0
175646,19221219,   97,    0
175646,19221220,   97,    0
175646,19221221,   91,    0
175646,19221222,   97,    0
175646,19221223,   98,    0
175646,19221224,   91,    0
175646,19221225,  100,    0
175646,19221226,  100,    0
175646,19221227,   97,    0
175646,19221228,   89,    0
175646,19221229,   63,    0
